data,produto,categoria,vendedor,quantidade_vendida,preco_unitario,valor_total,estoque_atual,estoque_minimo,meta_mensal_vendedor
2025-01-06,Meia Kit c/3,Vestuário,Ana Souza,5,29.9,149.5,97,25,18000
2025-01-06,Bota Coturno,Calçados,Carlos Lima,5,289.9,1449.5,15,4,15000
2025-01-06,Meia Kit c/3,Vestuário,Diego Alves,1,29.9,29.9,96,25,12000
2025-01-07,Bota Coturno,Calçados,Beatriz Rocha,4,289.9,1159.6,14,4,20000
2025-01-07,Óculos de Sol,Acessórios,Diego Alves,2,119.9,239.8,38,9,12000
2025-01-07,Sandália Casual,Calçados,Diego Alves,3,89.9,269.7,41,10,12000
2025-01-07,Mochila Executiva,Acessórios,Diego Alves,4,159.9,639.6,33,7,12000
2025-01-07,Jaqueta Corta-Vento,Vestuário,Diego Alves,5,199.9,999.5,24,5,12000
2025-01-07,Bota Coturno,Calçados,Diego Alves,1,289.9,289.9,12,4,12000
2025-01-07,Boné Aba Reta,Acessórios,Diego Alves,2,49.9,99.8,84,20,12000
2025-01-07,Óculos de Sol,Acessórios,Ana Souza,4,119.9,479.6,38,9,18000
2025-01-08,Meia Kit c/3,Vestuário,Beatriz Rocha,1,29.9,29.9,96,25,20000
2025-01-08,Camiseta Basic,Vestuário,Diego Alves,3,39.9,119.7,77,15,12000
2025-01-08,Meia Kit c/3,Vestuário,Carlos Lima,4,29.9,119.6,95,25,15000
2025-01-08,Camiseta Basic,Vestuário,Ana Souza,2,39.9,79.8,76,15,18000
2025-01-08,Calça Jeans,Vestuário,Carlos Lima,4,129.9,519.6,38,8,15000
2025-01-08,Jaqueta Corta-Vento,Vestuário,Ana Souza,3,199.9,599.7,23,5,18000
2025-01-08,Sandália Casual,Calçados,Beatriz Rocha,4,89.9,359.6,41,10,20000
2025-01-08,Óculos de Sol,Acessórios,Diego Alves,2,119.9,239.8,38,9,12000
2025-01-09,Tênis Urbano,Calçados,Beatriz Rocha,3,249.9,749.7,25,6,20000
2025-01-09,Boné Aba Reta,Acessórios,Carlos Lima,1,49.9,49.9,84,20,15000
2025-01-09,Boné Aba Reta,Acessórios,Ana Souza,1,49.9,49.9,84,20,18000
2025-01-09,Meia Kit c/3,Vestuário,Beatriz Rocha,1,29.9,29.9,95,25,20000
2025-01-10,Bota Coturno,Calçados,Carlos Lima,1,289.9,289.9,10,4,15000
2025-01-10,Camiseta Basic,Vestuário,Ana Souza,5,39.9,199.5,75,15,18000
2025-01-10,Calça Jeans,Vestuário,Carlos Lima,3,129.9,389.7,38,8,15000
2025-01-11,Boné Aba Reta,Acessórios,Ana Souza,3,49.9,149.7,84,20,18000
2025-01-11,Camiseta Basic,Vestuário,Beatriz Rocha,4,39.9,159.6,74,15,20000
2025-01-11,Óculos de Sol,Acessórios,Diego Alves,2,119.9,239.8,38,9,12000
2025-01-12,Calça Jeans,Vestuário,Diego Alves,4,129.9,519.6,38,8,12000
2025-01-12,Mochila Executiva,Acessórios,Diego Alves,4,159.9,639.6,32,7,12000
2025-01-12,Camiseta Basic,Vestuário,Carlos Lima,3,39.9,119.7,74,15,15000
2025-01-13,Calça Jeans,Vestuário,Ana Souza,5,129.9,649.5,38,8,18000
2025-01-13,Calça Jeans,Vestuário,Diego Alves,1,129.9,129.9,37,8,12000
2025-01-13,Jaqueta Corta-Vento,Vestuário,Ana Souza,5,199.9,999.5,22,5,18000
2025-01-14,Calça Jeans,Vestuário,Beatriz Rocha,1,129.9,129.9,36,8,20000
2025-01-14,Jaqueta Corta-Vento,Vestuário,Carlos Lima,3,199.9,599.7,20,5,15000
2025-01-14,Boné Aba Reta,Acessórios,Diego Alves,1,49.9,49.9,84,20,12000
2025-01-14,Mochila Executiva,Acessórios,Beatriz Rocha,5,159.9,799.5,32,7,20000
2025-01-14,Mochila Executiva,Acessórios,Carlos Lima,3,159.9,479.7,32,7,15000
2025-01-14,Mochila Executiva,Acessórios,Ana Souza,4,159.9,639.6,31,7,18000
2025-01-14,Boné Aba Reta,Acessórios,Ana Souza,5,49.9,249.5,83,20,18000
2025-01-15,Meia Kit c/3,Vestuário,Ana Souza,3,29.9,89.7,94,25,18000
2025-01-15,Mochila Executiva,Acessórios,Carlos Lima,2,159.9,319.8,30,7,15000
2025-01-15,Sandália Casual,Calçados,Ana Souza,4,89.9,359.6,40,10,18000
2025-01-16,Camiseta Basic,Vestuário,Ana Souza,2,39.9,79.8,73,15,18000
2025-01-16,Jaqueta Corta-Vento,Vestuário,Diego Alves,4,199.9,799.6,19,5,12000
2025-01-16,Óculos de Sol,Acessórios,Carlos Lima,4,119.9,479.6,37,9,15000
2025-01-16,Boné Aba Reta,Acessórios,Carlos Lima,4,49.9,199.6,82,20,15000
2025-01-16,Mochila Executiva,Acessórios,Carlos Lima,3,159.9,479.7,29,7,15000
2025-01-16,Calça Jeans,Vestuário,Carlos Lima,1,129.9,129.9,36,8,15000
2025-01-16,Jaqueta Corta-Vento,Vestuário,Diego Alves,4,199.9,799.6,17,5,12000
2025-01-17,Boné Aba Reta,Acessórios,Ana Souza,1,49.9,49.9,81,20,18000
2025-01-17,Óculos de Sol,Acessórios,Ana Souza,2,119.9,239.8,37,9,18000
2025-01-17,Tênis Urbano,Calçados,Ana Souza,1,249.9,249.9,25,6,18000
2025-01-17,Calça Jeans,Vestuário,Diego Alves,2,129.9,259.8,35,8,12000
2025-01-17,Bota Coturno,Calçados,Beatriz Rocha,1,289.9,289.9,8,4,20000
2025-01-18,Tênis Urbano,Calçados,Diego Alves,3,249.9,749.7,25,6,12000
2025-01-18,Jaqueta Corta-Vento,Vestuário,Diego Alves,1,199.9,199.9,16,5,12000
2025-01-18,Sandália Casual,Calçados,Carlos Lima,1,89.9,89.9,40,10,15000
2025-01-18,Camiseta Basic,Vestuário,Beatriz Rocha,3,39.9,119.7,72,15,20000
2025-01-18,Jaqueta Corta-Vento,Vestuário,Beatriz Rocha,5,199.9,999.5,14,5,20000
2025-01-18,Meia Kit c/3,Vestuário,Ana Souza,5,29.9,149.5,93,25,18000
2025-01-19,Meia Kit c/3,Vestuário,Carlos Lima,5,29.9,149.5,93,25,15000
2025-01-19,Jaqueta Corta-Vento,Vestuário,Ana Souza,4,199.9,799.6,12,5,18000
2025-01-19,Tênis Urbano,Calçados,Carlos Lima,3,249.9,749.7,25,6,15000
2025-01-19,Sandália Casual,Calçados,Diego Alves,3,89.9,269.7,40,10,12000
2025-01-20,Meia Kit c/3,Vestuário,Beatriz Rocha,1,29.9,29.9,92,25,20000
2025-01-20,Bota Coturno,Calçados,Beatriz Rocha,1,289.9,289.9,6,4,20000
2025-01-20,Tênis Urbano,Calçados,Beatriz Rocha,3,249.9,749.7,25,6,20000
2025-01-20,Sandália Casual,Calçados,Diego Alves,5,89.9,449.5,40,10,12000
2025-01-20,Boné Aba Reta,Acessórios,Beatriz Rocha,3,49.9,149.7,81,20,20000
2025-01-20,Jaqueta Corta-Vento,Vestuário,Diego Alves,1,199.9,199.9,11,5,12000
2025-01-20,Óculos de Sol,Acessórios,Carlos Lima,5,119.9,599.5,37,9,15000
2025-01-20,Sandália Casual,Calçados,Carlos Lima,5,89.9,449.5,40,10,15000
2025-01-21,Meia Kit c/3,Vestuário,Diego Alves,1,29.9,29.9,91,25,12000
2025-01-21,Camiseta Basic,Vestuário,Beatriz Rocha,3,39.9,119.7,72,15,20000
2025-01-21,Jaqueta Corta-Vento,Vestuário,Ana Souza,5,199.9,999.5,9,5,18000
2025-01-21,Camiseta Basic,Vestuário,Ana Souza,3,39.9,119.7,71,15,18000
2025-01-21,Boné Aba Reta,Acessórios,Beatriz Rocha,5,49.9,249.5,80,20,20000
2025-01-21,Tênis Urbano,Calçados,Carlos Lima,1,249.9,249.9,25,6,15000
2025-01-21,Mochila Executiva,Acessórios,Diego Alves,5,159.9,799.5,28,7,12000
2025-01-21,Óculos de Sol,Acessórios,Diego Alves,5,119.9,599.5,37,9,12000
2025-01-22,Boné Aba Reta,Acessórios,Carlos Lima,3,49.9,149.7,80,20,15000
2025-01-22,Óculos de Sol,Acessórios,Beatriz Rocha,3,119.9,359.7,36,9,20000
2025-01-22,Camiseta Basic,Vestuário,Diego Alves,1,39.9,39.9,70,15,12000
2025-01-22,Sandália Casual,Calçados,Beatriz Rocha,4,89.9,359.6,40,10,20000
2025-01-22,Boné Aba Reta,Acessórios,Beatriz Rocha,5,49.9,249.5,80,20,20000
2025-01-23,Camiseta Basic,Vestuário,Ana Souza,3,39.9,119.7,69,15,18000
2025-01-23,Camiseta Basic,Vestuário,Ana Souza,4,39.9,159.6,69,15,18000
2025-01-23,Bota Coturno,Calçados,Ana Souza,2,289.9,579.8,4,4,18000
2025-01-23,Meia Kit c/3,Vestuário,Ana Souza,2,29.9,59.8,90,25,18000
2025-01-23,Mochila Executiva,Acessórios,Beatriz Rocha,4,159.9,639.6,28,7,20000
2025-01-23,Bota Coturno,Calçados,Carlos Lima,5,289.9,1449.5,2,4,15000
2025-01-23,Mochila Executiva,Acessórios,Ana Souza,3,159.9,479.7,28,7,18000
2025-01-24,Tênis Urbano,Calçados,Carlos Lima,1,249.9,249.9,25,6,15000
2025-01-24,Sandália Casual,Calçados,Diego Alves,1,89.9,89.9,40,10,12000
2025-01-24,Meia Kit c/3,Vestuário,Beatriz Rocha,2,29.9,59.8,90,25,20000
2025-01-24,Jaqueta Corta-Vento,Vestuário,Diego Alves,1,199.9,199.9,7,5,12000
2025-01-24,Meia Kit c/3,Vestuário,Beatriz Rocha,3,29.9,89.7,90,25,20000
2025-01-24,Boné Aba Reta,Acessórios,Diego Alves,5,49.9,249.5,80,20,12000
2025-01-24,Meia Kit c/3,Vestuário,Diego Alves,2,29.9,59.8,90,25,12000
2025-01-24,Calça Jeans,Vestuário,Ana Souza,3,129.9,389.7,35,8,18000
2025-01-25,Mochila Executiva,Acessórios,Diego Alves,2,159.9,319.8,28,7,12000
2025-01-25,Óculos de Sol,Acessórios,Diego Alves,5,119.9,599.5,35,9,12000
2025-01-25,Tênis Urbano,Calçados,Beatriz Rocha,6,249.9,1499.4,24,6,20000
2025-01-25,Bota Coturno,Calçados,Carlos Lima,2,289.9,579.8,1,4,15000
2025-01-25,Meia Kit c/3,Vestuário,Beatriz Rocha,2,29.9,59.8,90,25,20000
2025-01-26,Óculos de Sol,Acessórios,Beatriz Rocha,5,119.9,599.5,35,9,20000
2025-01-26,Jaqueta Corta-Vento,Vestuário,Beatriz Rocha,5,199.9,999.5,5,5,20000
2025-01-26,Calça Jeans,Vestuário,Ana Souza,2,129.9,259.8,35,8,18000
2025-01-26,Meia Kit c/3,Vestuário,Carlos Lima,5,29.9,149.5,89,25,15000
2025-01-26,Tênis Urbano,Calçados,Beatriz Rocha,1,249.9,249.9,23,6,20000
2025-01-26,Camiseta Basic,Vestuário,Beatriz Rocha,6,39.9,239.4,69,15,20000
2025-01-27,Bota Coturno,Calçados,Ana Souza,6,289.9,1739.4,0,4,18000
2025-01-27,Camiseta Basic,Vestuário,Ana Souza,3,39.9,119.7,69,15,18000
2025-01-27,Mochila Executiva,Acessórios,Diego Alves,5,159.9,799.5,27,7,12000
2025-01-27,Camiseta Basic,Vestuário,Diego Alves,1,39.9,39.9,68,15,12000
2025-01-27,Mochila Executiva,Acessórios,Diego Alves,6,159.9,959.4,26,7,12000
2025-01-27,Óculos de Sol,Acessórios,Beatriz Rocha,3,119.9,359.7,35,9,20000
2025-01-27,Boné Aba Reta,Acessórios,Carlos Lima,5,49.9,249.5,80,20,15000
2025-01-28,Meia Kit c/3,Vestuário,Diego Alves,3,29.9,89.7,88,25,12000
2025-01-28,Sandália Casual,Calçados,Beatriz Rocha,2,89.9,179.8,39,10,20000
2025-01-28,Bota Coturno,Calçados,Ana Souza,2,289.9,579.8,0,4,18000
2025-01-28,Calça Jeans,Vestuário,Diego Alves,2,129.9,259.8,35,8,12000
2025-01-28,Óculos de Sol,Acessórios,Beatriz Rocha,1,119.9,119.9,34,9,20000
2025-01-28,Jaqueta Corta-Vento,Vestuário,Carlos Lima,1,199.9,199.9,4,5,15000
2025-01-29,Boné Aba Reta,Acessórios,Ana Souza,6,49.9,299.4,80,20,18000
2025-01-29,Camiseta Basic,Vestuário,Carlos Lima,3,39.9,119.7,67,15,15000
2025-01-29,Bota Coturno,Calçados,Beatriz Rocha,2,289.9,579.8,0,4,20000
2025-01-29,Mochila Executiva,Acessórios,Diego Alves,5,159.9,799.5,26,7,12000
2025-01-29,Óculos de Sol,Acessórios,Diego Alves,1,119.9,119.9,33,9,12000
2025-01-29,Tênis Urbano,Calçados,Diego Alves,1,249.9,249.9,23,6,12000
2025-01-30,Camiseta Basic,Vestuário,Ana Souza,3,39.9,119.7,66,15,18000
2025-01-30,Sandália Casual,Calçados,Beatriz Rocha,1,89.9,89.9,39,10,20000
2025-01-30,Bota Coturno,Calçados,Diego Alves,5,289.9,1449.5,0,4,12000
2025-01-30,Sandália Casual,Calçados,Carlos Lima,5,89.9,449.5,39,10,15000
2025-01-30,Óculos de Sol,Acessórios,Beatriz Rocha,5,119.9,599.5,33,9,20000
2025-01-30,Bota Coturno,Calçados,Carlos Lima,5,289.9,1449.5,0,4,15000
2025-01-30,Camiseta Basic,Vestuário,Carlos Lima,2,39.9,79.8,66,15,15000
2025-01-30,Boné Aba Reta,Acessórios,Diego Alves,3,49.9,149.7,79,20,12000
2025-01-31,Sandália Casual,Calçados,Ana Souza,3,89.9,269.7,38,10,18000
2025-01-31,Bota Coturno,Calçados,Diego Alves,5,289.9,1449.5,0,4,12000
2025-01-31,Meia Kit c/3,Vestuário,Diego Alves,1,29.9,29.9,88,25,12000
2025-01-31,Meia Kit c/3,Vestuário,Carlos Lima,6,29.9,179.4,88,25,15000
2025-01-31,Tênis Urbano,Calçados,Carlos Lima,6,249.9,1499.4,22,6,15000
2025-01-31,Tênis Urbano,Calçados,Diego Alves,1,249.9,249.9,22,6,12000
2025-01-31,Óculos de Sol,Acessórios,Carlos Lima,6,119.9,719.4,33,9,15000
2025-02-01,Óculos de Sol,Acessórios,Carlos Lima,4,119.9,479.6,40,9,15000
2025-02-01,Meia Kit c/3,Vestuário,Ana Souza,2,29.9,59.8,99,25,18000
2025-02-01,Sandália Casual,Calçados,Carlos Lima,2,89.9,179.8,44,10,15000
2025-02-01,Jaqueta Corta-Vento,Vestuário,Carlos Lima,4,199.9,799.6,3,5,15000
2025-02-01,Meia Kit c/3,Vestuário,Carlos Lima,2,29.9,59.8,99,25,15000
2025-02-01,Calça Jeans,Vestuário,Carlos Lima,4,129.9,519.6,40,8,15000
2025-02-02,Mochila Executiva,Acessórios,Ana Souza,2,159.9,319.8,35,7,18000
2025-02-02,Camiseta Basic,Vestuário,Ana Souza,2,39.9,79.8,79,15,18000
2025-02-02,Sandália Casual,Calçados,Ana Souza,3,89.9,269.7,44,10,18000
2025-02-02,Sandália Casual,Calçados,Beatriz Rocha,2,89.9,179.8,43,10,20000
2025-02-02,Tênis Urbano,Calçados,Ana Souza,1,249.9,249.9,29,6,18000
2025-02-03,Camiseta Basic,Vestuário,Carlos Lima,1,39.9,39.9,78,15,15000
2025-02-03,Tênis Urbano,Calçados,Diego Alves,3,249.9,749.7,28,6,12000
2025-02-03,Jaqueta Corta-Vento,Vestuário,Ana Souza,3,199.9,599.7,1,5,18000
2025-02-03,Camiseta Basic,Vestuário,Carlos Lima,5,39.9,199.5,77,15,15000
2025-02-03,Bota Coturno,Calçados,Ana Souza,4,289.9,1159.6,0,4,18000
2025-02-04,Tênis Urbano,Calçados,Beatriz Rocha,5,249.9,1249.5,27,6,20000
2025-02-04,Meia Kit c/3,Vestuário,Ana Souza,1,29.9,29.9,99,25,18000
2025-02-04,Boné Aba Reta,Acessórios,Ana Souza,3,49.9,149.7,89,20,18000
2025-02-04,Tênis Urbano,Calçados,Carlos Lima,1,249.9,249.9,27,6,15000
2025-02-04,Mochila Executiva,Acessórios,Carlos Lima,1,159.9,159.9,34,7,15000
2025-02-05,Jaqueta Corta-Vento,Vestuário,Diego Alves,2,199.9,399.8,0,5,12000
2025-02-05,Camiseta Basic,Vestuário,Ana Souza,5,39.9,199.5,77,15,18000
2025-02-05,Camiseta Basic,Vestuário,Carlos Lima,5,39.9,199.5,76,15,15000
2025-02-05,Calça Jeans,Vestuário,Beatriz Rocha,1,129.9,129.9,39,8,20000
2025-02-05,Boné Aba Reta,Acessórios,Diego Alves,2,49.9,99.8,88,20,12000
2025-02-06,Sandália Casual,Calçados,Ana Souza,2,89.9,179.8,42,10,18000
2025-02-06,Jaqueta Corta-Vento,Vestuário,Ana Souza,2,199.9,399.8,0,5,18000
2025-02-06,Camiseta Basic,Vestuário,Ana Souza,3,39.9,119.7,75,15,18000
2025-02-07,Meia Kit c/3,Vestuário,Beatriz Rocha,2,29.9,59.8,99,25,20000
2025-02-07,Mochila Executiva,Acessórios,Ana Souza,2,159.9,319.8,33,7,18000
2025-02-07,Boné Aba Reta,Acessórios,Beatriz Rocha,2,49.9,99.8,87,20,20000
2025-02-07,Bota Coturno,Calçados,Carlos Lima,3,289.9,869.7,0,4,15000
2025-02-08,Camiseta Basic,Vestuário,Diego Alves,1,39.9,39.9,74,15,12000
2025-02-08,Camiseta Basic,Vestuário,Diego Alves,4,39.9,159.6,73,15,12000
2025-02-08,Camiseta Basic,Vestuário,Ana Souza,1,39.9,39.9,72,15,18000
2025-02-08,Óculos de Sol,Acessórios,Beatriz Rocha,3,119.9,359.7,40,9,20000
2025-02-09,Camiseta Basic,Vestuário,Carlos Lima,5,39.9,199.5,72,15,15000
2025-02-09,Meia Kit c/3,Vestuário,Beatriz Rocha,5,29.9,149.5,98,25,20000
2025-02-09,Boné Aba Reta,Acessórios,Beatriz Rocha,3,49.9,149.7,86,20,20000
2025-02-09,Boné Aba Reta,Acessórios,Beatriz Rocha,1,49.9,49.9,85,20,20000
2025-02-09,Boné Aba Reta,Acessórios,Carlos Lima,3,49.9,149.7,84,20,15000
2025-02-10,Camiseta Basic,Vestuário,Carlos Lima,2,39.9,79.8,71,15,15000
2025-02-10,Óculos de Sol,Acessórios,Ana Souza,2,119.9,239.8,39,9,18000
2025-02-10,Sandália Casual,Calçados,Ana Souza,3,89.9,269.7,42,10,18000
2025-02-11,Tênis Urbano,Calçados,Beatriz Rocha,4,249.9,999.6,26,6,20000
2025-02-11,Jaqueta Corta-Vento,Vestuário,Ana Souza,1,199.9,199.9,0,5,18000
2025-02-11,Mochila Executiva,Acessórios,Diego Alves,1,159.9,159.9,32,7,12000
2025-02-11,Calça Jeans,Vestuário,Beatriz Rocha,3,129.9,389.7,38,8,20000
2025-02-12,Jaqueta Corta-Vento,Vestuário,Beatriz Rocha,2,199.9,399.8,0,5,20000
2025-02-12,Meia Kit c/3,Vestuário,Beatriz Rocha,3,29.9,89.7,97,25,20000
2025-02-12,Óculos de Sol,Acessórios,Ana Souza,1,119.9,119.9,39,9,18000
2025-02-12,Óculos de Sol,Acessórios,Carlos Lima,2,119.9,239.8,39,9,15000
2025-02-12,Óculos de Sol,Acessórios,Beatriz Rocha,2,119.9,239.8,38,9,20000
2025-02-12,Calça Jeans,Vestuário,Beatriz Rocha,3,129.9,389.7,38,8,20000
2025-02-13,Calça Jeans,Vestuário,Carlos Lima,1,129.9,129.9,38,8,15000
2025-02-13,Camiseta Basic,Vestuário,Carlos Lima,1,39.9,39.9,70,15,15000
2025-02-13,Sandália Casual,Calçados,Ana Souza,1,89.9,89.9,41,10,18000
2025-02-13,Tênis Urbano,Calçados,Diego Alves,5,249.9,1249.5,26,6,12000
2025-02-13,Calça Jeans,Vestuário,Carlos Lima,2,129.9,259.8,38,8,15000
2025-02-13,Bota Coturno,Calçados,Beatriz Rocha,1,289.9,289.9,0,4,20000
2025-02-14,Tênis Urbano,Calçados,Ana Souza,3,249.9,749.7,25,6,18000
2025-02-14,Calça Jeans,Vestuário,Diego Alves,1,129.9,129.9,37,8,12000
2025-02-14,Sandália Casual,Calçados,Beatriz Rocha,2,89.9,179.8,40,10,20000
2025-02-15,Calça Jeans,Vestuário,Beatriz Rocha,2,129.9,259.8,36,8,20000
2025-02-15,Bota Coturno,Calçados,Diego Alves,5,289.9,1449.5,0,4,12000
2025-02-15,Camiseta Basic,Vestuário,Ana Souza,4,39.9,159.6,69,15,18000
2025-02-15,Óculos de Sol,Acessórios,Diego Alves,3,119.9,359.7,38,9,12000
2025-02-15,Óculos de Sol,Acessórios,Beatriz Rocha,4,119.9,479.6,37,9,20000
2025-02-15,Meia Kit c/3,Vestuário,Ana Souza,3,29.9,89.7,96,25,18000
2025-02-16,Mochila Executiva,Acessórios,Carlos Lima,5,159.9,799.5,31,7,15000
2025-02-16,Mochila Executiva,Acessórios,Diego Alves,1,159.9,159.9,30,7,12000
2025-02-16,Meia Kit c/3,Vestuário,Beatriz Rocha,5,29.9,149.5,96,25,20000
2025-02-16,Sandália Casual,Calçados,Carlos Lima,5,89.9,449.5,40,10,15000
2025-02-17,Bota Coturno,Calçados,Beatriz Rocha,5,289.9,1449.5,0,4,20000
2025-02-17,Bota Coturno,Calçados,Ana Souza,2,289.9,579.8,0,4,18000
2025-02-17,Sandália Casual,Calçados,Ana Souza,5,89.9,449.5,40,10,18000
2025-02-18,Óculos de Sol,Acessórios,Diego Alves,1,119.9,119.9,37,9,12000
2025-02-18,Camiseta Basic,Vestuário,Beatriz Rocha,5,39.9,199.5,69,15,20000
2025-02-18,Mochila Executiva,Acessórios,Beatriz Rocha,1,159.9,159.9,30,7,20000
2025-02-18,Boné Aba Reta,Acessórios,Ana Souza,3,49.9,149.7,83,20,18000
2025-02-18,Tênis Urbano,Calçados,Diego Alves,5,249.9,1249.5,24,6,12000
2025-02-19,Jaqueta Corta-Vento,Vestuário,Beatriz Rocha,1,199.9,199.9,0,5,20000
2025-02-19,Óculos de Sol,Acessórios,Beatriz Rocha,4,119.9,479.6,36,9,20000
2025-02-19,Bota Coturno,Calçados,Beatriz Rocha,1,289.9,289.9,0,4,20000
2025-02-20,Boné Aba Reta,Acessórios,Ana Souza,4,49.9,199.6,82,20,18000
2025-02-20,Bota Coturno,Calçados,Ana Souza,5,289.9,1449.5,0,4,18000
2025-02-20,Calça Jeans,Vestuário,Carlos Lima,3,129.9,389.7,36,8,15000
2025-02-20,Óculos de Sol,Acessórios,Diego Alves,2,119.9,239.8,35,9,12000
2025-02-20,Sandália Casual,Calçados,Beatriz Rocha,4,89.9,359.6,40,10,20000
2025-02-20,Meia Kit c/3,Vestuário,Beatriz Rocha,3,29.9,89.7,96,25,20000
2025-02-21,Meia Kit c/3,Vestuário,Diego Alves,3,29.9,89.7,95,25,12000
2025-02-21,Boné Aba Reta,Acessórios,Beatriz Rocha,4,49.9,199.6,81,20,20000
2025-02-21,Jaqueta Corta-Vento,Vestuário,Diego Alves,1,199.9,199.9,0,5,12000
2025-02-21,Sandália Casual,Calçados,Beatriz Rocha,4,89.9,359.6,39,10,20000
2025-02-21,Tênis Urbano,Calçados,Ana Souza,2,249.9,499.8,24,6,18000
2025-02-21,Tênis Urbano,Calçados,Beatriz Rocha,1,249.9,249.9,23,6,20000
2025-02-21,Bota Coturno,Calçados,Ana Souza,4,289.9,1159.6,0,4,18000
2025-02-21,Jaqueta Corta-Vento,Vestuário,Ana Souza,3,199.9,599.7,0,5,18000
2025-02-22,Bota Coturno,Calçados,Carlos Lima,5,289.9,1449.5,0,4,15000
2025-02-22,Tênis Urbano,Calçados,Carlos Lima,2,249.9,499.8,22,6,15000
2025-02-22,Meia Kit c/3,Vestuário,Ana Souza,1,29.9,29.9,95,25,18000
2025-02-22,Sandália Casual,Calçados,Beatriz Rocha,5,89.9,449.5,39,10,20000
2025-02-23,Camiseta Basic,Vestuário,Carlos Lima,4,39.9,159.6,68,15,15000
2025-02-23,Bota Coturno,Calçados,Diego Alves,2,289.9,579.8,0,4,12000
2025-02-23,Óculos de Sol,Acessórios,Beatriz Rocha,1,119.9,119.9,34,9,20000
2025-02-24,Camiseta Basic,Vestuário,Beatriz Rocha,2,39.9,79.8,68,15,20000
2025-02-24,Meia Kit c/3,Vestuário,Ana Souza,1,29.9,29.9,94,25,18000
2025-02-24,Calça Jeans,Vestuário,Carlos Lima,4,129.9,519.6,35,8,15000
2025-02-24,Calça Jeans,Vestuário,Carlos Lima,5,129.9,649.5,34,8,15000
2025-02-24,Mochila Executiva,Acessórios,Diego Alves,4,159.9,639.6,29,7,12000
